ADM2Name,Obs,Pop,weight_tot,weight_scl
Ba,117,"231,760",1980.854701,0.979274374
Naitasiri,75,"160,760",2143.466667,1.059664788
Rewa,48,"100,787",2099.729167,1.038042297
Macuata,35,"72,441",2069.742857,1.023217977
Tailevu,32,"65,965",2061.40625,1.019096612
Nadroga-Navosa,27,"58,387",2162.481481,1.069065135
Cakaudrove,24,"49,344",2056,1.016423926
Ra,14,"29,464",2104.571429,1.040436164
Serua,10,"18,249",1824.9,0.902175108
Namosi,9,"6,898",766.4444444,0.378906844
Bua,8,"14,176",1772,0.876022956
Lomaiviti,8,"16,461",2057.625,1.017227277
Lau,6,"10,683",1780.5,0.880225097
Kadavu,5,"10,167",2033.4,1.005251173
Rotuma,1,"2,002",2002,0.989727967
